alert_id,processing_status,processing_run_id,processed_at,ai_draft_source,ai_draft_reference,model_id,ai_verification,review_routing,review_gate,human_review_decision,human_review_id,override_status,override_request_id,final_action,disposition_source,disposition_reference,routing_policy_id,error_code
ALERT024,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T03:59:45.876795+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT024,claude-haiku-4-5-20251001,pass,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT025,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T03:59:49.154029+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT025,claude-haiku-4-5-20251001,mixed,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT026,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T04:00:06.155516+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT026,claude-haiku-4-5-20251001,mixed,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT027,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T04:00:08.522660+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT027,claude-haiku-4-5-20251001,mixed,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT028,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T04:00:10.739099+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT028,claude-haiku-4-5-20251001,mixed,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT029,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T04:00:12.122460+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT029,claude-haiku-4-5-20251001,pass,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT030,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T04:00:14.486515+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT030,claude-haiku-4-5-20251001,mixed,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT031,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T04:00:17.199634+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT031,claude-haiku-4-5-20251001,mixed,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT032,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T04:00:19.758265+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT032,claude-haiku-4-5-20251001,pass,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT033,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T04:00:21.811025+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT033,claude-haiku-4-5-20251001,fail,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT034,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T04:00:24.127202+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT034,claude-haiku-4-5-20251001,mixed,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT035,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T04:00:27.650338+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT035,claude-haiku-4-5-20251001,mixed,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT036,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T04:00:30.215488+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT036,claude-haiku-4-5-20251001,mixed,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT037,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T04:00:32.935208+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT037,claude-haiku-4-5-20251001,mixed,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT038,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T04:00:35.608753+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT038,claude-haiku-4-5-20251001,mixed,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
ALERT039,processed,DEMO-CAPTURE-REMAINING-V1,2026-07-20T04:00:38.428316+00:00,captured_live,DEMO-CAPTURE-REMAINING-V1:ALERT039,claude-haiku-4-5-20251001,mixed,required,pending,none,,none,,,none,,POL-REVIEW-ROUTING-V1,
